Overall_Rank,Ticker,Sector,Current_Price,Expected_Returns_12M,Expected_Returns_24M,Expected_Returns_36M,Expected_Returns_48M,Expected_Returns_60M,Forecast_12M,Forecast_24M,Forecast_36M,Forecast_48M,Forecast_60M,Avg_Historical_CAGR,Risk_Adjusted_Return,PE_Ratio,PB_Ratio
1,HDFCLIFE,Financials,788.75,53.41,166.07,401.57,896.45,1970.96,53.41,63.12,71.18,77.67,83.33,69.74,55.79,14.5,4.2
2,APOLLOHOSP,Healthcare,7922.5,51.82,136.93,273.23,493.17,844.95,51.82,53.93,55.12,56.06,56.7,54.73,43.78,58,6.2
3,HEROMOTOCO,Automobile,4997.9,51.09,125.9,237.28,403.92,648.49,51.09,50.3,49.97,49.83,49.57,50.15,40.12,22,3.8
4,TATACONSUM,Consumer,1084.1,37.41,105.95,209.51,362.46,600.82,37.41,43.51,45.73,46.65,47.61,44.18,35.35,48,18
5,SBILIFE,Financials,1859,31.48,89.85,202.22,410.51,816.18,31.48,37.79,44.58,50.31,55.74,43.98,35.18,15,4.8
6,MARUTI,Automobile,14349,43.28,97.76,171.58,272.09,409.28,43.28,40.63,39.52,38.89,38.48,40.16,32.13,28,4.7
7,HINDALCO,Energy,704.2,37.59,91.6,168,278.44,432.27,37.59,38.42,38.9,39.48,39.71,38.82,31.06,15,2.2
8,BAJAJ-AUTO,Automobile,8679.5,35.7,89.58,164.8,271.42,421.63,35.7,37.69,38.35,38.82,39.15,37.94,30.35,28.48,6.91
9,BEL,Infrastructure,374.85,35.98,83.79,147.45,242.61,366.73,35.98,35.57,35.26,36.05,36.09,35.79,28.63,50.12,13.68
10,DELTACORP,Consumer,127.6,28.55,78.5,149.57,257.45,409.07,28.55,34.14,38.44,41.45,43.97,37.31,29.85,19,2.1
11,ONGC,Energy,362.65,28.3,71.7,129.25,211.45,320.05,28.3,31.22,33.1,34.19,35.05,32.38,25.9,9.5,0.9
12,IOC,Energy,175,31.85,67.4,115.15,183.95,271.5,31.85,29.5,29.51,29.67,29.75,30.06,24.05,17.2,1.3
13,BPCL,Energy,395.2,25.82,64.15,117.95,194.3,296.8,25.82,28.0,30.19,31.38,32.54,29.59,23.67,12.7,1.2
14,SAIL,Energy,135,30.9,61.85,102.7,160.35,236.15,30.9,27.05,26.3,25.91,25.87,27.21,21.77,28.5,2.1
15,COALINDIA,Energy,469.1,22.85,58.4,108.15,179.6,279.6,22.85,25.5,27.69,28.98,30.65,26.91,21.53,8.4,1.6
16,NTPC,Energy,336.65,24.35,55.9,97.55,155.8,234.25,24.35,24.4,24.96,25.16,25.67,24.91,19.93,16.8,1.7
